acousticness,age,artist_popularity,danceability,duration_ms,energy,followers,genre_popularity,id,instrumentalness,key,length,loudness,mode,name,tempo,time_signature,track_popularity,valence
0.3831,11787.28,66.6,0.507,283264.0,0.525,38530,99.23,37i9dQZF1DXdVelxaccCqL,0.1704,4.9,50,-11.0717,0.86,This is: Lou Reed,115.7709,3.96,34.04,0.4962
0.0588,2818.48,77.39,0.6241,220912.0682,0.7531,22801,98.86,37i9dQZF1DWXDAhqlN7e6W,0.0012,5.3182,44,-5.0278,0.5,This Is: Max Martin,128.4298,4.0,57.95,0.56
0.3132,5144.26,61.83,0.6363,289775.5652,0.5247,31367,96.06,37i9dQZF1DWTqZKf590Jo5,0.0202,5.2174,23,-9.1715,0.5217,This is: Maxwell,110.9654,3.9565,45.48,0.5293
0.3448,416.04,49.84,0.6106,235865.12,0.4973,916,91.6,37i9dQZF1DX5P58TnuVGha,0.0323,5.56,25,-8.8609,0.88,This Is: Margo Price,128.3748,3.8,37.8,0.5213
0.3394,6145.9,61.14,0.4164,267849.902,0.5325,36561,96.48,37i9dQZF1DWYEHBVWXZn8H,0.065,4.7451,51,-10.1659,0.6667,This Is: Nick Cave,125.1884,3.902,14.45,0.3918
0.0074,3351.2,78.0,0.5471,229218.6857,0.8877,131564,97.81,37i9dQZF1DX6JuPU62sIoU,0.0309,6.2,35,-4.3189,0.7429,This Is Nickelback,130.261,4.0,59.26,0.5708
0.3627,5144.48,79.0,0.3929,262257.5,0.5407,200640,99.36,37i9dQZF1DX1XDyq5cTk95,0.3387,5.56,50,-9.7492,0.5,This Is: Radiohead,121.5257,3.9,58.5,0.3089
0.2069,6569.48,74.0,0.4625,238931.1475,0.7056,61269,99.36,37i9dQZF1DWSNpCo0vJUOm,0.1122,4.7705,61,-7.329,0.7705,This Is: R.E.M.,128.8469,3.8852,39.66,0.5662
0.177,2346.28,92.44,0.6217,230045.9444,0.6647,894861,100.0,37i9dQZF1DWWhBhYl3ZMvY,0.0078,5.5278,36,-5.4537,0.5,This Is Rihanna,119.3651,3.9444,66.58,0.5033
0.1273,6418.0,70.0,0.5591,240227.0,0.675,47527,99.74,37i9dQZF1DX8IAL5KfmFJA,0.0059,5.28,50,-6.4089,0.84,This is: Roxette,122.7087,3.96,41.42,0.5174
0.4989,1179.23,69.37,0.6023,240661.0857,0.4597,36022,98.29,37i9dQZF1DX86aPVQf2emM,0.091,4.8286,35,-10.5642,0.5143,This Is: Sampha,123.0143,4.0286,48.86,0.3093
0.1315,1700.33,70.37,0.7245,197140.8696,0.7433,40827,99.41,37i9dQZF1DX5WbJFtYTzv7,0.0003,4.913,46,-6.2876,0.6304,This Is: Skepta,135.7673,4.0,37.63,0.5034
0.1195,6560.0,58.81,0.6468,242659.7209,0.7701,64111,99.15,37i9dQZF1DWWUJdr9ahsbf,0.0441,5.3023,43,-5.8998,0.5581,This Is Spice Girls,119.9316,4.0,47.63,0.6476
0.3239,7924.54,72.38,0.5773,261171.78,0.4951,119598,97.62,37i9dQZF1DX8yMCqd4JdaS,0.0293,4.48,50,-11.2211,0.58,This is: Sting,109.9533,3.92,42.58,0.4628
0.1444,3916.28,65.0,0.5564,238957.8,0.7492,38116,99.74,37i9dQZF1DX5joH2aOAS4r,0.0009,5.125,40,-7.6551,0.7,This Is Take That,119.8536,3.975,38.38,0.5214
0.2646,641.42,77.58,0.6305,226858.4667,0.68,107731,82.16,37i9dQZF1DX9AFOBBZSMWw,0.0002,5.2444,45,-6.8861,0.6,This Is: Stormzy,120.2724,4.0444,49.91,0.526
0.2498,8249.12,63.85,0.583,249677.1951,0.6689,43949,96.58,37i9dQZF1DX4UK2Qu9x6KC,0.0195,5.1707,41,-9.5196,0.6829,This Is Tina Turner,121.6063,3.878,37.61,0.6267
0.8519,9655.16,68.26,0.3823,202090.614,0.2543,44024,94.13,37i9dQZF1DX4c84KflUhSt,0.0017,4.8947,57,-12.3489,0.6842,This is: Tony Bennett,107.158,3.7544,37.89,0.2511
0.2052,2268.46,54.86,0.5766,329783.0,0.6228,15776,86.63,37i9dQZF1DX4cEqBpR9k1C,0.53,5.5429,35,-10.1528,0.4857,This Is Trentemøller,124.7951,3.8571,32.26,0.2868
0.1213,7317.11,80.1,0.4817,269254.5052,0.6455,279495,99.37,37i9dQZF1DX8kI525v95Yu,0.0903,5.1443,97,-9.6557,0.7423,This Is: U2,125.1192,3.9794,47.85,0.4089
0.4574,12179.12,74.0,0.5473,312294.96,0.5034,63679,99.36,37i9dQZF1DWUHyTgDVMaG1,0.0162,5.1,50,-10.0937,0.8,This Is Van Morrison,121.955,3.86,44.98,0.5756
0.0008,2359.94,74.0,0.4352,245006.0588,0.9119,83804,97.86,37i9dQZF1DWYrXu9rm1zUZ,0.0537,3.6471,34,-4.6163,0.8235,This Is: Volbeat,113.65,3.9706,48.82,0.451
0.1577,2051.89,65.62,0.7094,196864.3111,0.8426,11527,90.41,37i9dQZF1DXbW9wx2hgf03,0.0271,5.4,45,-5.3601,0.5556,This is: Wiley,134.5966,4.0222,30.29,0.7246
0.1111,7945.81,52.59,0.4629,278142.3281,0.7877,9825,96.91,37i9dQZF1DX7mMRxgkst0Y,0.2765,5.5781,64,-9.2238,0.7656,This Is: The Fall,131.7148,4.0,20.91,0.5631
0.1586,5672.95,48.58,0.473,276171.8167,0.6881,21332,88.72,37i9dQZF1DWY3pbjsJ6MxA,0.2877,4.05,60,-9.5718,0.8,Best of John Peel Sessions,123.0722,3.9,16.57,0.5122
0.5492,1674.03,73.8,0.6281,232179.0333,0.4502,130236,94.5,37i9dQZF1DWSp9aN7lDNHp,0.4037,5.0333,30,-11.9607,0.5333,This Is: The xx,119.4033,4.0,60.03,0.275
0.3576,12009.43,35.91,0.4137,283815.1304,0.4804,3976,88.41,37i9dQZF1DX4n3DaGTtM0p,0.5467,6.9565,23,-11.0969,0.4348,This Is: David Axelrod,118.6166,3.913,24.74,0.3892
0.0386,167.13,47.14,0.5111,213776.0714,0.7887,269324,81.57,37i9dQZF1DWT2jS7NwYPVI,0.0469,6.0,98,-5.2993,0.5306,New Noise,129.008,3.9694,47.38,0.4731
0.0752,222.96,60.59,0.5699,212225.9,0.7647,680369,91.64,37i9dQZF1DX82GYcclJ3Ug,0.0336,4.9,90,-5.2979,0.6,Digging Now,126.4046,3.9889,55.53,0.4957
0.0242,5964.78,74.5,0.4865,247698.44,0.8049,962431,99.06,37i9dQZF1DX49jUV2NfGku,0.0649,5.74,50,-5.8405,0.6,Rock Solid,125.3978,3.94,67.94,0.4537
0.0531,455.93,68.46,0.5056,227994.54,0.8026,68601,94.67,37i9dQZF1DX1Jg9KZ76Rr9,0.0396,5.21,100,-5.2893,0.6,Rock This: Best of 2017,128.0317,3.95,61.73,0.4763
0.0493,8609.96,73.3,0.5538,226241.8929,0.8371,262170,98.95,37i9dQZF1DX8FwnYE6PRvL,0.0594,6.0357,112,-6.4619,0.6429,Rock Party,126.4536,3.9821,64.14,0.6355
0.1794,15010.72,72.29,0.5193,268896.4615,0.7046,3538237,99.27,37i9dQZF1DWXRqgorJj26U,0.0518,5.2231,130,-8.9446,0.7462,Rock Classics,124.082,3.9538,61.08,0.6053
0.2279,2093.69,63.45,0.5189,242978.717,0.6085,343473,94.26,37i9dQZF1DX6mvEU1S6INL,0.0838,5.5094,106,-7.6759,0.6604,You & Me,124.8985,3.8302,44.07,0.3449
0.1531,8274.62,71.0,0.7284,211543.3824,0.7686,53462,99.87,37i9dQZF1DX46YR1jKxz8o,0.0795,4.5,34,-9.6024,0.6471,This Is: Beastie Boys,111.9331,3.8824,48.15,0.6219
0.0275,841.41,55.99,0.5535,218799.9384,0.8423,215510,93.01,37i9dQZF1DX2SK4ytI2KAZ,0.027,4.7671,146,-4.8743,0.8425,It's ALT Good!,120.8129,3.9589,42.88,0.521
0.0143,268.62,50.75,0.4743,212913.4174,0.8799,285071,84.17,37i9dQZF1DWZkHEX2YHpDV,0.0375,5.3826,115,-4.5332,0.6174,The Scene,130.8937,3.9739,42.94,0.4046
